title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
Sermones,1080-1134,Norbertus Magdeburgensis,http://viaf.org/viaf/75264960,75264960,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 170",NorMag.Sermon35,Patrologia Latina,10893,True,
Rationarium vite,1343-1408,"Giovanni, da Ravenna",http://viaf.org/viaf/71412514,71412514,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13109,True,
Excerpta ex liturgicis codicibus Fontavellanensibus,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",AucInc.ExExLiC,Patrologia Latina,10411,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De orthographia,485-580,Cassiodorus Vivariensis,http://viaf.org/viaf/95230707,95230707,"based on critical edition, no apparatus, online edition",Transcodifica di base da rtf a xml-tei Piero Colombo - step srl,digilibLT,Vercelli,2016,digilibLT,CasViv.DeOrth3,,14359,True,
Epistolae,,Auctor incertus (Paulinus Nolanus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,,"Patrologia Latina, vol. 61",AuInPaN.Episto67,,7711,True,
De vita contemplativa,430-490,Julianus Pomerius,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 59",JulPom.DeViCo,Patrologia Latina,7699,True,
Epistolae,1239-1307,Eduardus I Anglorum rex,http://viaf.org/viaf/13101431,13101431,,Print edition by: F. Delle Donne,SISMEL. Edizioni del Galluzzo,Firenze,2007,,EduI.Epistol,,15487,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Note: Parole: 962\n\t\t\t\t\tCaratteri (spazi esclusi): 6260\n\t\t\t\tVA', 'Livello di codifica: 1']"
De opere et eleemosynis,-258,Cyprianus Carthaginensis,http://viaf.org/viaf/100179090,100179090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 4",CypCar.DeOpEtE,Patrologia Latina,124,True,
De XII utilitatibus tribulationis,1135-1212,Petrus Blesensis,http://viaf.org/viaf/24572572,24572572,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 207",PetBle.DeXiUtT,Patrologia Latina,11709,True,
Gesta Aldrici,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 115",AucInc.GesAld,Patrologia Latina,9035,True,
Relatio de inventione et elevatione,,Bovo Sithivensis,http://viaf.org/viaf/29921398,29921398,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",BovSit.ReDeInE,Patrologia Latina,10202,True,
Epistolae 1729-1799,1756-1806,"Barichevich, Adamus Aloysius",http://viaf.org/viaf/305474176,305474176,"early modern edition, no apparatus",Teodora Shek Brnardić,,,Siječnja 2004,,BarAda.Epistol,,13290,True,
De Officiis 44BC,106BC–43BC,Cicero,http://viaf.org/viaf/78769600,78769600,"eclectic edition, apparatus not encoded",Walter Miller,"Harvard University Press; Cambridge, Mass., London, England",Cambridge,106BC–43BC,,Cicero.DeOffic,,12625,True,
Opus synonymorum,c.1195-c.1272,Joannes de Garlandia,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",JoDeGa.OpuSyn,Patrologia Latina,10362,True,
Proseucticon de terraemotu,1646-1719,"Rogacci, Benedictus",http://viaf.org/viaf/3558416,3558416,"early modern edition, no apparatus",Gorana Stepanić,,,"Srpnja
            2012.",,RogBen.PrDeTer,,13428,True,
Commentarius in Oseam,,Auctor incertus (Rufinus Aquileiensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 21",AuInRuA.CoInOs,Patrologia Latina,7110,True,
De XII lapidibus,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 40",AucInc.DeXiLa,Patrologia Latina,7362,True,
Appendix ad Vitam S. Eigilis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1831,"Patrologia Latina, vol. 105",AucInc.ApAdViS2,Patrologia Latina,8816,True,
Commentaria in Marcum,1047–1123,Bruno Astensis,http://viaf.org/viaf/17378860,17378860,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 165",BruAst.CoInMa7,Patrologia Latina,10810,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14975,True,
De contemplatione,,Hildebrandus junior,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 181",HilJun.DeCon2,Patrologia Latina,11183,True,
De controuersiis agrorum,fl.c.400,Agennius Urbicus,http://viaf.org/viaf/42229983,42229983,"based on critical edition, no apparatus, online edition",Source with summary and bibliography,digilibLT,Vercelli,2011,digilibLT,AgeUrb.DeCoAgr,,14337,True,
Epistolae,c.1232-1266,Manfredus Siciliae rex,http://viaf.org/viaf/268054772,268054772,,Print edition by: F. Delle Donne,SISMEL. Edizioni del Galluzzo,Firenze,2007,,ManSic.Epistol,,15499,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Tipo:', 'Note: Parole: 1351\r\nCaratteri (spazi esclusi): 8918\r\n< > indica integrazione\r\nVA', 'Livello di codifica: 1']"
De festivitatibus apostolorum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 123",AucInc.DeFeAp,Patrologia Latina,9193,True,
De diversis praescriptionibus,fl. 1075,Rogerius,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 146",Rogeri.DeDiPr,Patrologia Latina,10162,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Praeceptiones ecclesiasticae,,Clotarius II Francorum,http://viaf.org/viaf/78186977,78186977,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 80",ClIiFr.PraEcc,Patrologia Latina,8128,True,
Epistola ad Joannem,,Michael Cerularius; Leo Acridanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",MiCeLeA.EpAdJo2,Patrologia Latina,10027,True,
Appendix,1374-1460,Guarino Veronese,http://viaf.org/viaf/78782481,78782481,"critical edition, apparatus not encoded","R. Sabbadini, 1995",,,,Musisque Deoque 2007,GuaVer.Appe,,19695,True,
Epigramma ad lectorem Politicon Aristotelis,fl. 1494,"Nimireus Arbensis, Martinus",,,"early modern edition, no apparatus","Aristotelis POLITICA.
             
             fol. 1492. Latine. Sine loci et typographi ind.
             
             Panzer, v. iv. p. 57; Bibl. P. Nor; et Bibl. Univers. Erlang.
             
             Romae. fol. 1492. Latine ex versione Leonardi Aretini cum Commentar. D. Thomae Aquinatis et Conclusionibus Fr. Ludovici Ferrariensis
             
             In fine voluminis: Impressum est hoc opus Rome per Magistrum Eucharium Silber: alias Franck: Absolutumque die Jouis. xiiii. Kal. Aug. Anno dni. MCCCC.XCII. Char. Goth, cum sign, et pagg. num. foll. 257. Panzer, v. ii. p. 502; Maittaire, p. 548; Audiffredi, p. 305; Laire, p. 274; Mittar, p. 446; Gaignat. t. 1. p. 218; Bibl. Dict. v. i. p 118; and Brunei, t. i. p. 86.  Descriptio bibliographica in: Moss, Joseph William:  A manual of classical bibliography : comprising a copious detail of the various editions of the Greek and Latin classics ....  London: (1837)",,,veljača 2010,,NimMar.EpAdLec,,13279,True,
Scientiae Sinicae Liber Tertius 1687,1626–1696,"Intorcetta, Prospero",http://viaf.org/viaf/45107415,45107415,"First Latin translation of Confucius' Analects (論語, Lúnyǔ); archive.org",,apud Danielem Horthemels,Parisiis,1687,Auctores scientiarum varii,IntPro.SciSiTer,,21594,True,
Hymni et responsoria,,Robertus Francorum,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",RobFra.HyEtRe,Patrologia Latina,9909,True,
Acta synodi Pontigonensis,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucVar.AcSyPo,Patrologia Latina,9679,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Paraphrasis metrica in librum Tobiae,1175-1200,Matthaeus Vindocinensis,http://viaf.org/viaf/62342032,62342032,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 205",MatVin.PaMeInL,Patrologia Latina,11694,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,15015,True,
Passio Sanctarum Perpetuae et Felicitatis,,Anonymus,,,"based on critical edition, no apparatus, online edition",Correzione linguistica Clementina Mazzucco,digilibLT,Vercelli,2015,digilibLT,Anonym.PaPeFel,,14447,True,
Epistula ad Stephanum Ponchierium,1466-1532,"Banisius, Jacobus",http://viaf.org/viaf/305484971,305484971,"early modern edition, no apparatus",Alexander Apponyi,,,Lipnja 2009,,BanJac.EpAdSte,,13327,True,
Commentaria in Epistolam ad Colossenses,366-384,Ambrosiaster,http://viaf.org/viaf/281829495,281829495,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 17",Ambros.CoInEpA7,Patrologia Latina,6983,True,
De verbis Psalmi,806-882,Hincmarus Rhemensis,http://viaf.org/viaf/41865587,41865587,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 125",HinRhe.DeVePs,Patrologia Latina,9238,True,
Fragmentum glossarii Latino Theotisci,,Auctor incertus (Rabanus Maurus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 112",AuInRaM.FrGlLaT,Patrologia Latina,8927,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14844,True,
Elegia de tonsore,1739–1820,"Ferrich, Georgius",http://viaf.org/viaf/3296751,3296751,"early modern edition, no apparatus",Joseph Nicolas Barbier-Vemars,,,Prosinca 2010,,FerGeo.ElDeTon,,13271,True,
De incarnatione filii Dei,462-527,Fulgentius Ruspensis,http://viaf.org/viaf/102324857,102324857,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 65",FulRus.DeInFiD,Patrologia Latina,7806,True,
Consolatio,1398-1481,"Filelfo, Francesco",http://viaf.org/viaf/5000255,5000255,"critical edition, apparatus not encoded","G. Benadduci, 1894",,,,Musisque Deoque 2007,FilFra.Cons,,19922,True,
In nativitate Domini.,1090-1153,Bernardus Claraevallensis,http://viaf.org/viaf/59875293,59875293,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 183",BerCla.InNaDo,Patrologia Latina,11239,True,
"De monade, numero et figura",1548-1600,Giordano Bruno,http://viaf.org/viaf/68926311,68926311,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13036,True,
