,work_id,title_cc,author_cc,year,word_count,not_before,not_after,is_earlymodern,title_lem,author_dates,author_lem,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,prelemmatized,notes,author_wd
28,10027,Epistola ad Joannem,Michael Cerularius; Leo Acridanus ,,2794,,,False,Epistola ad Joannem,,Michael Cerularius; Leo Acridanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",MiCeLeA.EpAdJo2,Patrologia Latina,True,,
29,10028,Libellus contra Latinos,Niceta ,,12510,,,False,Libellus contra Latinos,,Niceta,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",Niceta.LiCoLa,Patrologia Latina,True,,
30,10029,Epistolae et diplomata,Nicolaus II ,,42212,,,False,Epistolae et diplomata,,Nicolaus II,3263164,3263164,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",NicIi.EpEtDi8,Patrologia Latina,True,,
31,10030,Vita Burchardi,Odo Fossatensis,fl. 1058,10848,1058.0,1058.0,False,Vita Burchardi,fl. 1058,Odo Fossatensis,2823908,2823908,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",OdoFos.VitBur3,Patrologia Latina,True,,
32,10031,Diplomata,Raimbaldus Arelatensis1031-1067 ,1031-1067,3266,1031.0,1067.0,False,Diplomata,1031-1067,Raimbaldus Arelatensis,87150420,87150420,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",RaiAre.Diplom16,Patrologia Latina,True,,
33,10032,Vita S. Annonis,Reginhardus Sigebergensis ,,100541,,,False,Vita S. Annonis,,Reginhardus Sigebergensis,12857581,12857581,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",RegSig.ViSAn3,Patrologia Latina,True,,
34,10033,"Patrologia Latina, vol. 143",Stephanus X ,,11293,,,False,Epistolae et privilegia,,Stephanus X,8183963,8183963,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",SteX.EpEtPr18,,True,,
35,10034,Epistola ad Joannem Dolensem,Stephanus cardinalis ,,390,,,False,Epistola ad Joannem Dolensem,,Stephanus cardinalis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",SteCar.EpAdJoD,Patrologia Latina,True,,
36,10035,In concilio Burdegalensi,Stephanus cardinalis ,,1556,,,False,In concilio Burdegalensi,,Stephanus cardinalis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",SteCar.InCoBu,Patrologia Latina,True,,
37,10036,Prologus expositionis regulae S. Benedicti,Theuzo S. Mariae de Florentia ,,428,,,False,Prologus expositionis regulae S. Benedicti,,Theuzo S. Mariae de Florentia,740943,740943,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",ThSMaDe.PrExReS,Patrologia Latina,True,,
38,10037,Epistolae et diplomatica,Victor II ,,24280,,,False,Epistolae et diplomatica,,Victor II,21671671,21671671,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",VicIi.EpEtDi7,Patrologia Latina,True,,
39,10038,Vita S. Leonis,Wibertus ,,48361,,,False,Vita S. Leonis,,Wibertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",Wibert.ViSLe5,Patrologia Latina,True,,
40,10039,Epistola ad Henricum III,Widricus S. Ghisleni in Hannonia,fl. 1065,1052,1065.0,1065.0,False,Epistola ad Henricum III,fl. 1065,Widricus S. Ghisleni in Hannonia,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",WiSGhIn.EpAdHeI,Patrologia Latina,True,,
41,10040,Epistolae additae,Auctores varii ,,2700,,,False,Epistolae additae,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",AucVar.EpiAdd,Patrologia Latina,True,,
42,10041,Vita III Petri Damiani,Augustinus Fortunius ,,8478,,,False,Vita III Petri Damiani,,Augustinus Fortunius,56952401,56952401,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",AugFor.ViIiPeD2,Patrologia Latina,True,,Q55227742
43,10042,Vita IV Petri Damiani,Hieronymus Rubeus ,,8548,,,False,Vita IV Petri Damiani,,Hieronymus Rubeus,13125897,13125897,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",HieRub.ViIvPeD,Patrologia Latina,True,,
44,10043,Vita II Petri Damiani,Joannes Antonius Flaminius ,,9298,,,False,Vita II Petri Damiani,,Joannes Antonius Flaminius,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",JoAnFl.ViIiPeD,Patrologia Latina,True,,
45,10044,Vita I Petri Damiani,Joannes discipulus Petri Damiani ,,28753,,,False,Vita I Petri Damiani,,Joannes discipulus Petri Damiani,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",JoDiPeD.ViIPeDa,Patrologia Latina,True,,
46,10045,Epistolae,Petrus Damianus,1007-1072,231050,1007.0,1072.0,False,Epistolae,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.Episto243,Patrologia Latina,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs'],
47,10046,Expositio visionum SS. Mariani et Jacobi,Petrus Damianus,1007-1072,2736,1007.0,1072.0,False,Expositio visionum SS. Mariani et Jacobi,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.ExViSsM,Patrologia Latina,True,,
48,10047,Passio SS. Florae et Lucillae,Petrus Damianus,1007-1072,4664,1007.0,1072.0,False,Passio SS. Florae et Lucillae,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.PaSsFlE,Patrologia Latina,True,,
49,10048,Sermones,Petrus Damianus,1007-1072,333538,1007.0,1072.0,False,,,,,,,,,,,,,,,,
50,10049,Vita S. Mauri,Petrus Damianus,1007-1072,4908,1007.0,1072.0,False,Vita S. Mauri,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.ViSMa15,Patrologia Latina,True,,
51,10050,Vita S. Odilonis,Petrus Damianus,1007-1072,10550,1007.0,1072.0,False,Vita S. Odilonis,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.ViSOd7,Patrologia Latina,True,,
52,10051,Vita S. Romualdi,Petrus Damianus,1007-1072,49233,1007.0,1072.0,False,Vita S. Romualdi,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.ViSRo3,Patrologia Latina,True,,
53,10052,Vita SS. Rodulphi et Dominici Loricati,Petrus Damianus,1007-1072,10980,1007.0,1072.0,False,Vita SS. Rodulphi et Dominici Loricati,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.ViSsRoE,Patrologia Latina,True,,
54,10053,Diploma de legatione S. Petri Damiani in Gallias,Alexander II ,,1242,,,False,Diploma de legatione S. Petri Damiani in Gallias,,Alexander II,249864617,249864617,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",AleIi.DiDeLeS,Patrologia Latina,True,,Q171112
55,10054,De Gallica profectione Petri Damiani,Auctor incertus ,,14359,,,False,De Gallica profectione Petri Damiani,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",AucInc.DeGaPrP,Patrologia Latina,True,,
56,10055,Expositio canonis missae secundum Petrum Damianum,Auctor incertus ,,13845,,,False,Expositio canonis missae secundum Petrum Damianum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",AucInc.ExCaMiS,Patrologia Latina,True,,
57,10056,Testimonia Novi Testamenti,Auctor incertus ,,19683,,,False,Testimonia Novi Testamenti,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",AucInc.TeNoTe,Patrologia Latina,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs'],
58,10057,Corollaria de B. Petro Damiano,Auctores varii ,,1962,,,False,Corollaria de B. Petro Damiano,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",AucVar.CoDeBPe,Patrologia Latina,True,,
59,10058,Elogium de S. Petro Damiano,Bertholdus Constantiensis,1030-1088,126,1030.0,1088.0,False,Elogium de S. Petro Damiano,1030-1088,Bertholdus Constantiensis,69286192,69286192,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",BerCon.ElDeSPe,Patrologia Latina,True,,Q267285
60,10059,Privilegium,Paulus V ,,900,,,False,Privilegium,,Paulus V,5065712,5065712,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PauV.Privil16,Patrologia Latina,True,,
61,10060,Actus Mediolani de privilegio Romanae ecclesiae,Petrus Damianus,1007-1072,6952,1007.0,1072.0,False,Actus Mediolani de privilegio Romanae ecclesiae,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.AcMeDeP,Patrologia Latina,True,,
62,10061,Antilogus contra Judaeos ad Honestum,Petrus Damianus,1007-1072,20066,1007.0,1072.0,False,Antilogus contra Judaeos ad Honestum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.AnCoJuA,Patrologia Latina,True,,
63,10062,Apologeticum de contemptu saeculi,Petrus Damianus,1007-1072,45367,1007.0,1072.0,False,Apologeticum de contemptu saeculi,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.ApDeCoS,Patrologia Latina,True,,
64,10063,Apologeticus monachorum adversus canonicos,Petrus Damianus,1007-1072,4439,1007.0,1072.0,False,Apologeticus monachorum adversus canonicos,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.ApMoAdC,Patrologia Latina,True,,
65,10064,Apologeticus ob dimissum episcopatum,Petrus Damianus,1007-1072,14709,1007.0,1072.0,False,Apologeticus ob dimissum episcopatum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.ApObDiE,Patrologia Latina,True,,
66,10065,Carmina sacra et preces,Petrus Damianus,1007-1072,37380,1007.0,1072.0,False,Carmina sacra et preces,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CaSaEtP2,Patrologia Latina,True,,
67,10066,Collectanea in Vetus Testamentum,Petrus Damianus,1007-1072,226187,1007.0,1072.0,False,Collectanea in Vetus Testamentum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoInVeT,Patrologia Latina,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs'],
68,10067,Contra clericos aulicos,Petrus Damianus,1007-1072,10038,1007.0,1072.0,False,Contra clericos aulicos,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoClAu,Patrologia Latina,True,,
69,10068,Contra clericos regulares proprietarios,Petrus Damianus,1007-1072,11865,1007.0,1072.0,False,Contra clericos regulares proprietarios,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoClReP,Patrologia Latina,True,,
70,10069,Contra errorem Graecorum de processione Spiritus Sancti,Petrus Damianus,1007-1072,11020,1007.0,1072.0,False,Contra errorem Graecorum de processione Spiritus Sancti,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoErGrD,Patrologia Latina,True,,
71,10070,Contra inscitiam et incuriam clericorum,Petrus Damianus,1007-1072,7286,1007.0,1072.0,False,Contra inscitiam et incuriam clericorum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoInEtI,Patrologia Latina,True,,
72,10071,Contra intemperantes clericos,Petrus Damianus,1007-1072,50972,1007.0,1072.0,False,Contra intemperantes clericos,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoInCl,Patrologia Latina,True,,
73,10072,Contra philargyriam et cupiditatem munerum,Petrus Damianus,1007-1072,15469,1007.0,1072.0,False,Contra philargyriam et cupiditatem munerum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoPhEtC,Patrologia Latina,True,,
74,10073,Contra sedentes tempore divini officii,Petrus Damianus,1007-1072,7852,1007.0,1072.0,False,Contra sedentes tempore divini officii,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.CoSeTeD,Patrologia Latina,True,,
75,10074,De X Aegypti plagis atque decalogo,Petrus Damianus,1007-1072,9631,1007.0,1072.0,False,De X Aegypti plagis atque decalogo,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeXAePl,Patrologia Latina,True,,
76,10075,De abdicatione episcopatus,Petrus Damianus,1007-1072,20846,1007.0,1072.0,False,De abdicatione episcopatus,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeAbEp,Patrologia Latina,True,,
77,10076,De bono status religiosi et tropologia variarum animantium,Petrus Damianus,1007-1072,32097,1007.0,1072.0,False,De bono status religiosi et tropologia variarum animantium,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeBoStR,Patrologia Latina,True,,
78,10077,"Patrologia Latina, vol. 145",Petrus Damianus,1007-1072,13521,1007.0,1072.0,False,De bono suffragiorum et variis miraculis,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeBoSuE,,True,,
79,10078,De brevitate vitae pontificum Romanorum et divina providentia,Petrus Damianus,1007-1072,9048,1007.0,1072.0,False,De brevitate vitae pontificum Romanorum et divina providentia,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeBrViP,Patrologia Latina,True,,
80,10079,De caelibatu sacerdotum,Petrus Damianus,1007-1072,7960,1007.0,1072.0,False,De caelibatu sacerdotum,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeCaSa,Patrologia Latina,True,,
81,10080,De castitate et mediis eam tuendi,Petrus Damianus,1007-1072,6300,1007.0,1072.0,False,De castitate et mediis eam tuendi,1007-1072,Petrus Damianus,50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeCaEtM,Patrologia Latina,True,,
